_time,percent_usage
2021-02-13 00:33:36,0.8224
2021-02-13 00:34:40,0.8114
2021-02-13 00:34:45,0.8115
2021-02-13 00:34:50,0.8114
2021-02-13 00:34:55,0.8114
2021-02-13 00:35:00,0.8115
2021-02-13 00:35:05,0.8115
2021-02-13 00:35:10,0.8117
2021-02-13 00:35:15,0.8117
2021-02-13 00:35:20,0.8117
2021-02-13 00:35:25,0.806
2021-02-13 00:35:30,0.8059
2021-02-13 00:35:35,0.806
2021-02-13 00:35:40,0.8059
2021-02-13 00:35:45,0.806
2021-02-13 00:35:50,0.8059
2021-02-13 00:35:55,0.806
2021-02-13 00:36:00,0.8059
2021-02-13 00:36:06,0.806
2021-02-13 00:36:11,0.8059
2021-02-13 00:36:16,0.806
2021-02-13 00:36:21,0.809
2021-02-13 00:36:26,0.8091
2021-02-13 00:36:31,0.8092
2021-02-13 00:36:36,0.8092
2021-02-13 00:36:41,0.8091
2021-02-13 00:36:46,0.8092
2021-02-13 00:36:51,0.8092
2021-02-13 00:36:56,0.8092
2021-02-13 00:37:01,0.8091
2021-02-13 00:37:06,0.8092
2021-02-13 00:37:11,0.8092
2021-02-13 00:37:16,0.8091
2021-02-13 00:37:21,0.8092
2021-02-13 00:37:26,0.8092
2021-02-13 00:37:31,0.8092
2021-02-13 00:37:36,0.8091
2021-02-13 00:37:41,0.8092
2021-02-13 00:37:46,0.8092
2021-02-13 00:37:51,0.8091
2021-02-13 00:37:56,0.8092
2021-02-13 00:38:01,0.8092
2021-02-13 00:38:06,0.8092
2021-02-13 00:38:11,0.8092
2021-02-13 00:39:28,0.8091
2021-02-13 00:39:33,0.8091
2021-02-13 00:39:38,0.8092
2021-02-13 00:39:43,0.8061
2021-02-13 00:39:48,0.806
2021-02-13 00:39:53,0.8059
2021-02-13 00:39:58,0.806
2021-02-13 00:40:03,0.8059
2021-02-13 00:40:08,0.806
2021-02-13 00:40:13,0.806
2021-02-13 00:40:18,0.806
2021-02-13 00:40:23,0.806
2021-02-13 00:40:28,0.806
2021-02-13 00:40:33,0.806
2021-02-13 00:40:38,0.806
2021-02-13 00:40:43,0.806
2021-02-13 00:40:48,0.806
2021-02-13 00:40:53,0.806
2021-02-13 00:40:58,0.806
2021-02-13 00:41:03,0.8059
2021-02-13 00:41:08,0.806
2021-02-13 00:41:13,0.806
2021-02-13 00:41:18,0.806
2021-02-13 00:41:23,0.806
2021-02-13 00:41:28,0.806
2021-02-13 00:41:33,0.806
2021-02-13 00:41:38,0.806
2021-02-13 00:41:43,0.806
2021-02-13 00:41:48,0.806
2021-02-13 00:41:53,0.806
2021-02-13 00:41:58,0.806
2021-02-13 00:42:03,0.806
2021-02-13 00:42:08,0.806
2021-02-13 00:42:13,0.806
2021-02-13 00:42:18,0.806
2021-02-13 00:42:23,0.806
2021-02-13 00:42:28,0.806
2021-02-13 00:42:33,0.806
2021-02-13 00:42:38,0.806
2021-02-13 00:42:43,0.806
2021-02-13 00:42:48,0.806
2021-02-13 00:42:53,0.806
2021-02-13 00:42:58,0.806
2021-02-13 00:43:03,0.806
2021-02-13 00:43:08,0.806
2021-02-13 00:43:13,0.806
2021-02-13 00:43:18,0.806
2021-02-13 00:43:23,0.806
2021-02-13 00:43:28,0.806
2021-02-13 00:43:33,0.806
2021-02-13 00:43:38,0.806
2021-02-13 00:43:44,0.806
2021-02-13 00:43:49,0.8061
2021-02-13 00:43:54,0.806
2021-02-13 00:43:58,0.8059
2021-02-13 00:44:03,0.806
2021-02-13 00:44:08,0.806
2021-02-13 00:44:13,0.8059
2021-02-13 00:44:18,0.8061
2021-02-13 00:44:23,0.806
2021-02-13 00:44:28,0.8061
2021-02-13 00:44:33,0.806
2021-02-13 00:44:38,0.806
2021-02-13 00:44:43,0.8061
2021-02-13 00:44:48,0.8061
2021-02-13 00:44:53,0.806
2021-02-13 00:44:58,0.806
2021-02-13 00:45:03,0.806
2021-02-13 00:45:08,0.806
2021-02-13 00:45:13,0.8061
2021-02-13 00:45:18,0.806
2021-02-13 00:45:23,0.8059
2021-02-13 00:45:28,0.806
2021-02-13 00:45:33,0.8059
2021-02-13 00:45:38,0.805
2021-02-13 00:45:43,0.8049
2021-02-13 00:45:48,0.8049
2021-02-13 00:45:53,0.805
2021-02-13 00:45:58,0.8049
2021-02-13 00:46:03,0.805
2021-02-13 00:46:08,0.8049
2021-02-13 00:46:13,0.805
2021-02-13 00:46:18,0.8049
2021-02-13 00:46:23,0.805
2021-02-13 00:46:28,0.8049
2021-02-13 00:46:33,0.805
2021-02-13 00:46:38,0.805
2021-02-13 00:46:43,0.8049
2021-02-13 00:46:48,0.805
2021-02-13 00:46:53,0.8049
2021-02-13 00:46:58,0.805
2021-02-13 00:47:03,0.8049
2021-02-13 00:47:08,0.805
2021-02-13 00:47:13,0.8049
2021-02-13 00:47:18,0.805
2021-02-13 00:47:23,0.805
2021-02-13 00:47:28,0.8049
2021-02-13 00:47:33,0.805
2021-02-13 00:47:38,0.805
2021-02-13 00:47:43,0.8049
2021-02-13 00:47:48,0.805
2021-02-13 00:47:53,0.8049
2021-02-13 00:47:58,0.805
2021-02-13 00:48:03,0.805
2021-02-13 00:52:13,0.8047
2021-02-13 00:52:18,0.8049
2021-02-13 00:52:23,0.8049
2021-02-13 00:52:28,0.8049
2021-02-13 00:52:31,0.8104
2021-02-13 00:52:33,0.8104
2021-02-13 00:52:38,0.805
2021-02-13 00:52:43,0.8052
2021-02-13 00:52:48,0.8054
